from,to,weight,money,transferart,saison 
cs_bu,scr_al,-1,-1,-1,21_22
fc_li,sa_ma,-1,-1,-1,21_22
sa_ma,ad_wa,-1,-1,-1,21_22
fc_li,be_se,0,1,2,21_22
be_se,rbs,0,1,2,21_22
fc_li,ma_kj,0,1,2,21_22
ma_kj,rbs,0,1,2,21_22
fc_li,do_ne,0,1,2,21_22
do_ne,rbs,0,1,2,21_22
lask_u18,va_oe,0,1,-1,22_23
va_oe,fc_li,0,1,-1,22_23
rbb,do_me,0,1,2,22_23
do_me,fc_li,0,1,2,22_23
rbs_u18,da_bi,-1,-1,-1,22_23
da_bi,fc_li,-1,-1,-1,22_23
rbs_u18,ma_be,-1,-1,-1,22_23
ma_be,fc_li,-1,-1,-1,22_23
rbs_u18,ko_ge,-1,-1,-1,22_23
ko_ge,fc_li,-1,-1,-1,22_23
rbs_u18,mo_sa,-1,-1,-1,22_23
mo_sa,fc_li,-1,-1,-1,22_23
rbs_u18,ro_zi,-1,-1,-1,22_23
ro_zi,fc_li,-1,-1,-1,22_23
rbs_u18,ti_pa,-1,-1,-1,22_23
ti_pa,fc_li,-1,-1,-1,22_23
rbs_u18,do_me,-1,-1,-1,22_23
do_me,fc_li,-1,-1,-1,22_23
rbs_u18,al_ba,-1,-1,-1,22_23
al_ba,fc_li,-1,-1,-1,22_23
rbs_u18,ze_ja,-1,-1,-1,22_23
ze_ja,fc_li,-1,-1,-1,22_23
rbs_u18,ma_ge,-1,-1,-1,22_23
ma_ge,fc_li,-1,-1,-1,22_23
rbs_u18,ma_mo,-1,-1,-1,22_23
ma_mo,fc_li,-1,-1,-1,22_23
rbs_u18,ma_pej,-1,-1,-1,22_23
ma_pej,fc_li,-1,-1,-1,22_23
rbs_u18,sa_ha,-1,-1,-1,22_23
sa_ha,fc_li,-1,-1,-1,22_23
fc_li,be_boe,0,1,3,22_23
be_boe,f_dus,0,1,3,22_23
fc_li,th_sc,0,1,3,22_23
th_sc,gr_ak,0,1,3,22_23
fc_li,ju_ha,-1,-1,-1,22_23
ju_ha,tsv_har,-1,-1,-1,22_23
fc_li,sa_mo,-1,-1,-1,22_23
sa_mo,st_gr_2,-1,-1,-1,22_23
ba_mu_u19,ma_sc,0,1,3,23_24
ma_sc,fc_li,0,1,3,23_24
rbs_u18,se_le,-1,-1,-1,23_24
se_le,fc_li,-1,-1,-1,23_24
rbs_u18,mo_ne,-1,-1,-1,23_24
mo_ne,fc_li,-1,-1,-1,23_24
rbs_u18,va_su,-1,-1,-1,23_24
va_su,fc_li,-1,-1,-1,23_24
rbs_u18,ja_sc,-1,-1,-1,23_24
ja_sc,fc_li,-1,-1,-1,23_24
rbs_u18,se_kue,-1,-1,-1,23_24
se_kue,fc_li,-1,-1,-1,23_24
rbs_u18,ti_tr,-1,-1,-1,23_24
ti_tr,fc_li,-1,-1,-1,23_24
rbs_u18,ph_ve,-1,-1,-1,23_24
ph_ve,fc_li,-1,-1,-1,23_24
rbs_u18,ol_lu,-1,-1,-1,23_24
ol_lu,fc_li,-1,-1,-1,23_24
rbs_u18,al_mu,-1,-1,-1,23_24
al_mu,fc_li,-1,-1,-1,23_24
ka_ka,ba_to,-1,-1,-1,23_24
ba_to,fc_li,-1,-1,-1,23_24
fc_li,el_ha,-1,-1,-1,23_24
el_ha,la_sk,-1,-1,-1,23_24
fc_li,ko_ge,-1,-1,-1,23_24
ko_ge,bi_ho,-1,-1,-1,23_24
fc_li,ba_to,-1,-1,-1,23_24
ba_to,di_gy,-1,-1,-1,23_24
fc_li,ma_be,-1,-1,-1,23_24
ma_be,fe_va,-1,-1,-1,23_24
fc_li,se_le,-1,0,-1,23_24
se_le,am_ooe,-1,0,-1,23_24
fc_li,ma_pej,0,1,3,23_24
ma_pej,sv_la,0,1,3,23_24
fc_li,mo_sa,0,1,3,23_24
mo_sa,sv_ho,0,1,3,23_24
fc_li,ba_to,0,1,3,23_24
ba_to,ka_ka,0,1,3,23_24
fc_li,se_kue,0,1,3,23_24
se_kue,bi_ho,0,1,3,23_24
fc_li,do_me,0,1,3,23_24
do_me,rbb,0,1,3,23_24
rbb,cl_le,12000000,2,1,21_22
cl_le,z_sp,12000000,2,1,21_22
rbb,fa_br,2500000,2,1,21_22
fa_br,fl_rio,2500000,2,1,21_22
rbb,ma_pe,150000,2,1,21_22
ma_pe,me_ka,150000,2,1,21_22
rbb,ed_fr,0,1,3,21_22
ed_fr,va_ga,0,1,3,21_22
rbb,we_pi,0,1,3,21_22
we_pi,ag_sa,0,1,3,21_22
rbb,th_an,0,1,2,21_22
th_an,co_fc,0,1,2,21_22
rbb,pe_lo,0,1,2,21_22
pe_lo,am_fc,0,1,2,21_22
rbb,we_si,0,1,2,21_22
we_si,va_ga,0,1,2,21_22
rbb,an_fe,0,1,2,21_22
an_fe,av_fc,0,1,2,21_22
rbb,vi_ca,0,1,2,21_22
vi_ca,gu_fc,0,1,2,21_22
rbb,ro_ma,0,1,2,21_22
ro_ma,cl_na,0,1,2,21_22
fc_sapa,he_ca,4000000,2,1,21_22
he_ca,rbb,4000000,2,1,21_22
ca_lan,ke_lo,4000000,2,1,21_22
ke_lo,rbb,4000000,2,1,21_22
fl_rio,na_so,3500000,2,1,21_22
na_so,rbb,3500000,2,1,21_22
naci,em_ma,3400000,2,1,21_22
em_ma,rbb,3400000,2,1,21_22
inde,jos_hur,3100000,2,1,21_22
jos_hur,rbb,3100000,2,1,21_22
ec_ba,er_ra,1850000,2,1,21_22
er_ra,rbb,1850000,2,1,21_22
nant,lu_ev,1600000,2,1,21_22
lu_ev,rbb,1600000,2,1,21_22
ju_tude,ma_vi,900000,2,1,21_22
ma_vi,rbb,900000,2,1,21_22
flumi,mi_si,0,1,3,21_22
mi_si,rbb,0,1,3,21_22
va_ga,lu_ga,0,1,3,21_22
lu_ga,rbb,0,1,3,21_22
palm,re_si,0,1,2,21_22
re_si,rbb,0,1,2,21_22
palm,ca_ed,0,1,2,21_22
ca_ed,rbb,0,1,2,21_22
fl_rio,ra_li,0,1,2,21_22
ra_li,rbb,0,1,2,21_22
atle,hy_da,0,1,2,21_22
hy_da,rbb,0,1,2,21_22
ri_pl,th_bo,4800000,2,1,22_23
th_bo,rbb,4800000,2,1,22_23
en_fc,he_mo,2300000,2,1,22_23
he_mo,rbb,2300000,2,1,22_23
po_pr,do_me,2000000,2,1,22_23
do_me,rbb,2000000,2,1,22_23
gi_vic,lu_cu,1500000,2,1,22_23
lu_cu,rbb,1500000,2,1,22_23
atle,ed_sa,900000,2,1,22_23
ed_sa,rbb,900000,2,1,22_23
pena,ig_la,690000,2,1,22_23
ig_la,rbb,690000,2,1,22_23
grem,ju_ca,400000,2,1,22_23
ju_ca,rbb,400000,2,1,22_23
oest,we_po,200000,2,1,22_23
we_po,rbb,200000,2,1,22_23
am_fc,ka_fe,200000,2,1,22_23
ka_fe,rbb,200000,2,1,22_23
itap,ta_al,-1,0,-1,22_23
ta_al,rbb,-1,0,-1,22_23
dy_ky,vi_na,0,1,2,22_23
vi_na,rbb,0,1,2,22_23
palm,ma_fe,0,1,2,22_23
ma_fe,rbb,0,1,2,22_23
sk_sl,ed_go,0,1,2,22_23
ed_go,rbb,0,1,2,22_23
at_par,lu_pa,0,1,2,22_23
lu_pa,rbb,0,1,2,22_23
flumi_u23,jo_ci,0,1,2,22_23
jo_ci,rbb,0,1,2,22_23
rbb,em_ma,5000000,2,1,22_23
em_ma,midt,5000000,2,1,22_23
rbb,ar_gu,8000000,2,1,22_23
ar_gu,palm,8000000,2,1,22_23
rbb,pe_lo,3500000,2,1,22_23
pe_lo,lok_mo,3500000,2,1,22_23
rbb,mi_si,0,1,3,22_23
mi_si,soch,0,1,3,22_23
rbb,we_mo,0,1,3,22_23
we_mo,arou,0,1,3,22_23
rbb,an_fe,0,1,3,22_23
an_fe,al_kha,0,1,3,22_23
rbb,br_tu,0,1,2,22_23
br_tu,va_ga,0,1,2,22_23
rbb,br_tu,0,1,3,22_23
br_tu,ac_go,0,1,3,22_23
rbb,ro_ma,0,1,3,22_23
ro_ma,csa,0,1,3,22_23
rbb,ch_mo,0,1,3,22_23
ch_mo,po_sg,0,1,3,22_23
rbb,th_an,0,1,2,22_23
th_an,fe_sp,0,1,2,22_23
rbb,th_an,0,1,2,22_23
th_an,abc_fc,0,1,2,22_23
rbb,ga_no,0,1,2,22_23
ga_no,goia,0,1,2,22_23
rbb,ce_ha,0,1,2,22_23
ce_ha,ju_fc,0,1,2,22_23
rbb,yt_ol,0,1,2,22_23
yt_ol,ec_ba,0,1,2,22_23
rbb,we_si,0,1,2,22_23
we_si,inte,0,1,2,22_23
rbb,we_si,0,1,2,22_23
we_si,po_pr,0,1,2,22_23
rbb,vi_ca,0,1,2,22_23
vi_ca,ju_tude,0,1,2,22_23
rbb,le_he,0,1,2,22_23
le_he,mari,0,1,2,22_23
rbb,le_he,0,1,2,22_23
le_he,lond,0,1,2,22_23
rbb,ch_mo,0,1,2,22_23
ch_mo,in_lim,0,1,2,22_23
rbb,do_me,0,1,2,22_23
do_me,fc_li,0,1,2,22_23
rbb,vi_pi,0,1,2,22_23
vi_pi,camb_fc,0,1,2,22_23
palm,ma_fe,1800000,3,1,23_24
ma_fe,rbb,1800000,3,1,23_24
at_par,pe_he,1500000,2,1,23_24
pe_he,rbb,1500000,2,1,23_24
sk_sl,ed_go,1200000,2,1,23_24
ed_go,rbb,1200000,2,1,23_24
fc_sapa,na_me,1000000,2,1,23_24
na_me,rbb,1000000,2,1,23_24
goia,jo_va,0,1,3,23_24
jo_va,rbb,0,1,3,23_24
des_u20,vi_pe,-1,0,-1,23_24
vi_pe,rbb,-1,0,-1,23_24
en_ner,li_ol,0,1,2,23_24
li_ol,rbb,0,1,2,23_24
fl_rio,ma_go,0,1,2,23_24
ma_go,rbb,0,1,2,23_24
rbs,do_me,0,1,2,23_24
do_me,rbb,0,1,2,23_24
dep_pas,jo_ca,0,1,2,23_24
jo_ca,rbb,0,1,2,23_24
estr,lu_gon,0,1,2,23_24
lu_gon,rbb,0,1,2,23_24
rbb,na_so,10000000,2,1,23_24
na_so,ssc_n,10000000,2,1,23_24
rbb,le_or,7000000,2,1,23_24
le_or,fl_rio,7000000,2,1,23_24
rbb,do_me,2000000,2,1,23_24
do_me,rbs,2000000,2,1,23_24
rbb,ad_li,0,1,3,23_24
ad_li,fc_sant,0,1,3,23_24
rbb,jo_va,0,1,3,23_24
jo_va,apa,0,1,3,23_24
rbb,yt_ol,0,1,3,23_24
yt_ol,cl_re,0,1,3,23_24
rbb,br_pa,0,1,2,23_24
br_pa,va_ga,0,1,2,23_24
rbb,al_barr,0,1,2,23_24
al_barr,es_vit,0,1,2,23_24
rbb,ma_vi,0,1,2,23_24
ma_vi,fc_fama,0,1,2,23_24
rbb,ke_lo,0,1,2,23_24
ke_lo,ca_tig,0,1,2,23_24
rbb,ga_no,0,1,2,23_24
ga_no,po_pr,0,1,2,23_24
rbb,we_si,0,1,2,23_24
we_si,goia,0,1,2,23_24
rbb,ce_ha,0,1,2,23_24
ce_ha,de_tol,0,1,2,23_24
rbb,th_an,0,1,2,23_24
th_an,itua,0,1,2,23_24
rbb,we_po,0,1,2,23_24
we_po,suwo,0,1,2,23_24
rbb,we_po,0,1,2,23_24
we_po,ju_tude,0,1,2,23_24
rbb,le_he,0,1,2,23_24
le_he,cian,0,1,2,23_24
di_za,jo_gv,36800000,4,1,21_22
jo_gv,rbl,36800000,4,1,21_22
ei_fr,an_si,23000000,3,1,21_22
an_si,rbl,23000000,3,1,21_22
ma_ci,ang,18000000,3,1,21_22
ang,rbl,18000000,3,1,21_22
fc_bar,il_mo,16000000,3,1,21_22
il_mo,rbl,16000000,3,1,21_22
rc_st,mo_si,15000000,2,1,21_22
mo_si,rbl,15000000,2,1,21_22
as_mo,be_he,15000000,2,1,21_22
be_he,rbl,15000000,2,1,21_22
rbn,ca_cl,1820000,2,1,21_22
ca_cl,rbl,1820000,2,1,21_22
aj_am,br_br,0,1,3,21_22
br_br,rbl,0,1,3,21_22
fc_fu,ad_lo,0,1,2,21_22
ad_lo,rbl,0,1,2,21_22
bo_mg,ha_wo,0,1,2,21_22
ha_wo,rbl,0,1,2,21_22
ga_is,ma_sa,0,1,2,21_22
ma_sa,rbl,0,1,2,21_22
rbn,ca_cl,0,1,2,21_22
ca_cl,rbl,0,1,2,21_22
rbb,lu_ca,0,1,2,21_22
lu_ca,rbl,0,1,2,21_22
sc_p,fa_ha,0,1,2,21_22
fa_ha,rbl,0,1,2,21_22
rbl,da_up,42500000,4,1,21_22
da_up,ba_mu,42500000,4,1,21_22
rbl,ib_ko,40000000,4,1,21_22
ib_ko,fc_liv,40000000,4,1,21_22
rbl,ma_sab,15000000,2,1,21_22
ma_sab,ba_mu,15000000,2,1,21_22
rbl,ha_wo,9500000,2,1,21_22
ha_wo,bo_mg,9500000,2,1,21_22
rbl,la_sa,3000000,2,1,21_22
la_sa,ud_ca,3000000,2,1,21_22
rbl,al_so,2000000,2,2,21_22
al_so,re_so,2000000,2,2,21_22
rbl,lu_ca,1500000,2,1,21_22
lu_ca,rbb,1500000,2,1,21_22
rbl,il_mo,0,1,2,21_22
il_mo,fc_v,0,1,2,21_22
rbl,he_hw,0,1,2,21_22
he_hw,wo_wa,0,1,2,21_22
rbl,ad_lo,0,1,2,21_22
ad_lo,le_ci,0,1,2,21_22
rbl,br_br,0,1,2,21_22
br_br,aj_am,0,1,2,21_22
rbl,ca_cl,0,1,2,21_22
ca_cl,rbn,0,1,2,21_22
rbl,jo_wo,0,1,2,21_22
jo_wo,ha_fc,0,1,2,21_22
rbl,fa_ha,0,1,2,21_22
fa_ha,sc_p,0,1,2,21_22
rbl,fa_ha,0,1,2,21_22
fa_ha,ei_br,0,1,2,21_22
rbl,ang,0,1,2,21_22
ang,ma_ci,0,1,2,21_22
rbl,ju_kl,0,1,2,21_22
ju_kl,as_r,0,1,2,21_22
rbl,be_he,0,1,2,22_23
be_he,as_mo,0,1,2,21_22
tsg_h,da_ra,26000000,3,1,22_23
da_ra,rbl,26000000,3,1,22_23
fc_ch,ti_we,20000000,3,1,22_23
ti_we,rbl,20000000,3,1,22_23
vfl_w,xa_sc,12000000,2,1,22_23
xa_sc,rbl,12000000,2,1,22_23
psg,ab_di,1500000,2,2,22_23
ab_di,rbl,1500000,2,2,22_23
he_al,ja_bl,0,1,3,22_23
ja_bl,rbl,0,1,3,22_23
wo_wa,he_hw,0,1,2,22_23
he_hw,rbl,0,1,2,22_23
re_so,al_so,0,1,2,22_23
al_so,rbl,0,1,2,22_23
le_ci,ad_lo,0,1,2,22_23
ad_lo,rbl,0,1,2,22_23
aj_am,br_br,0,1,2,22_23
br_br,rbl,0,1,2,22_23
fc_v,il_mo,0,1,2,22_23
il_mo,rbl,0,1,2,22_23
fc_n,to_kr,0,1,2,22_23
to_kr,rbl,0,1,2,22_23
fk_au,er_ma,0,1,2,22_23
er_ma,rbl,0,1,2,22_23
psv_eind,yv_mv,0,1,2,22_23
yv_mv,rbl,0,1,2,22_23
rbn,ca_cl,0,1,2,22_23
ca_cl,rbl,0,1,2,22_23
kvoo,fr_ja,0,1,2,22_23
fr_ja,rbl,0,1,2,22_23
ha_fc,ti_sc,0,1,2,22_23
ti_sc,rbl,0,1,2,22_23
fc_n,de_bo,0,1,2,22_23
de_bo,rbl,0,1,2,22_23
ha_fc,jo_wo,0,1,2,22_23
jo_wo,rbl,0,1,2,22_23
ei_br,fa_ha,0,1,2,22_23
fa_ha,rbl,0,1,2,22_23
fc_vk,be_kl,0,1,2,22_23
be_kl,rbl,0,1,2,22_23
rbl,ty_ad,17000000,3,1,22_23
ty_ad,le_un,17000000,3,1,22_23
rbl,he_hw,16700000,3,1,22_23
he_hw,wo_wa,16700000,3,1,22_23
rbl,br_br,16350000,3,1,22_23
br_br,aj_am,16350000,3,1,22_23
rbl,no_mu,12000000,2,1,22_23
no_mu,psg,12000000,2,1,22_23
rbl,ad_lo,9350000,2,1,22_23
ad_lo,ata_ber,9350000,2,1,22_23
rbl,al_so,1500000,2,2,22_23
al_so,re_so,1500000,2,2,22_23
rbl,er_ma,1200000,2,1,22_23
er_ma,fc_k,1200000,2,1,22_23
rbl,no_oh,1190000,2,1,22_23
no_oh,st_lue,1190000,2,1,22_23
rbl,to_kr,600000,2,2,22_23
to_kr,fc_sc,600000,2,2,22_23
rbl,si_ra,80000,2,1,22_23
si_ra,gr_fue,80000,2,1,22_23
rbl,jo_wo,0,1,3,22_23
jo_wo,sc_v,0,1,3,22_23
rbl,be_kl,0,1,3,22_23
be_kl,sc_p,0,1,3,22_23
rbl,yv_mv,-1,-1,-1,22_23
yv_mv,fc_lo,-1,-1,-1,22_23
rbl,so_bo,-1,-1,-1,22_23
so_bo,sk_k,-1,-1,-1,22_23
rbl,ang,0,1,2,22_23
ang,tsg_h,0,1,2,22_23
rbl,il_mo,0,1,2,22_23
il_mo,fc_v,0,1,2,22_23
rbl,hu_no,0,1,2,22_23
hu_no,fc_ba,0,1,2,22_23
rbl,jo_ma,0,1,2,22_23
jo_ma,ge_cfc,0,1,2,22_23
rbl,fr_ja,0,1,2,22_23
fr_ja,ar_bi,0,1,2,22_23
rbl,ti_sc,0,1,2,22_23
ti_sc,ho_ki,0,1,2,22_23
rbl,de_bo,0,1,2,22_23
de_bo,dy_d,0,1,2,22_23
rbl,fa_ha,0,1,2,22_23
fa_ha,sl_ro,0,1,2,22_23
rbl,be_kl,0,1,2,22_23
be_kl,fc_vk,0,1,2,22_23
rbl,me_ib,0,1,2,22_23
me_ib,ei_br,0,1,2,22_23
rc_l,lo_op,40000000,4,1,23_24
lo_op,rbl,40000000,4,1,23_24
oly_ly,ca_lu,30000000,3,1,23_24
ca_lu,rbl,30000000,3,1,23_24
tsg_h,ch_ba,25500000,3,1,23_24
ch_ba,rbl,25500000,3,1,23_24
ssc_n,el_el,24000000,3,1,23_24
el_el,rbl,24000000,3,1,23_24
rbs,be_se,24000000,3,1,23_24
be_se,rbl,24000000,3,1,23_24
rbs,ni_se,20000000,3,1,23_24
ni_se,rbl,20000000,3,1,23_24
psg,el_cb,15000000,2,1,23_24
el_cb,rbl,15000000,2,1,23_24
ei_fr,ch_le,1000000,2,1,23_24
ch_le,rbl,1000000,2,1,23_24
sc_p,leo_zi,0,1,3,23_24
leo_zi,rbl,0,1,3,23_24
psg,xa_si,0,1,2,23_24
xa_si,rbl,0,1,2,23_24
fc_liv,fa_ca,0,1,2,23_24
fa_ca,rbl,0,1,2,23_24
re_so,al_so,0,1,2,23_24
al_so,rbl,0,1,2,23_24
tsg_h,ang,0,1,2,23_24
ang,rbl,0,1,2,23_24
ga_is,ang,0,1,2,23_24
ang,rbl,0,1,2,23_24
fc_sc,to_kr,0,1,2,23_24
to_kr,rbl,0,1,2,23_24
fc_ba,hu_no,0,1,2,23_24
hu_no,rbl,0,1,2,23_24
fc_v,il_mo,0,1,2,23_24
il_mo,rbl,0,1,2,23_24
ge_cfc,jo_ma,0,1,2,23_24
jo_ma,rbl,0,1,2,23_24
fc_u,hu_no,0,1,2,23_24
hu_no,rbl,0,1,2,23_24
ve_ff,ca_cl,0,1,2,23_24
ca_cl,rbl,0,1,2,23_24
ar_bi,fr_ja,0,1,2,23_24
fr_ja,rbl,0,1,2,23_24
ho_ki,ti_sc,0,1,2,23_24
ti_sc,rbl,0,1,2,23_24
sl_ro,fa_ha,0,1,2,23_24
fa_ha,rbl,0,1,2,23_24
ei_br,me_ib,0,1,2,23_24
me_ib,rbl,0,1,2,23_24
rbl,jo_gv,90000000,4,1,23_24
jo_gv,ma_ci,90000000,4,1,23_24
rbl,do_sz,70000000,4,1,23_24
do_sz,fc_liv,70000000,4,1,23_24
rbl,ch_nk,60000000,4,1,23_24
ch_nk,fc_ch,60000000,4,1,23_24
rbl,al_so,10000000,2,1,23_24
al_so,fc_vi,10000000,2,1,23_24
rbl,to_kr,5000000,2,1,23_24
to_kr,fsv_m,5000000,2,1,23_24
rbl,jo_ma,3500000,2,1,23_24
jo_ma,ge_cfc,3500000,2,1,23_24
rbl,em_fo,3000000,2,1,23_24
em_fo,rbn,3000000,2,1,23_24
rbl,ang,1500000,2,2,23_24
ang,ga_is,1500000,2,2,23_24
rbl,ma_ha,700000,2,1,23_24
ma_ha,hann,700000,2,1,23_24
rbl,ko_la,0,1,3,23_24
ko_la,ba_mu,0,1,3,23_24
rbl,or_ny,0,1,3,23_24
or_ny,fc_sc,0,1,3,23_24
rbl,os_pr,0,1,3,23_24
os_pr,fv_i,0,1,3,23_24
rbl,ca_cl,-1,-1,-1,23_24
ca_cl,mi_un,-1,-1,-1,23_24
rbl,me_ib,-1,-1,-1,23_24
me_ib,fc_bwl,-1,-1,-1,23_24
rbl,ti_we,0,1,2,23_24
ti_we,tott,0,1,2,23_24
rbl,an_si,0,1,2,23_24
an_si,re_so,0,1,2,23_24
rbl,ang,0,1,2,23_24
ang,as_r,0,1,2,23_24
rbl,hu_no,0,1,2,23_24
hu_no,fc_u,0,1,2,23_24
rbl,hu_no,0,1,2,23_24
hu_no,fc_vi,0,1,2,23_24
rbl,il_mo,0,1,2,23_24
il_mo,fc_ge,0,1,2,23_24
rbl,ca_cl,0,1,2,23_24
ca_cl,ve_ff,0,1,2,23_24
rbl,fr_ja,0,1,2,23_24
fr_ja,sv_el,0,1,2,23_24
rbl,ti_sc,0,1,2,23_24
ti_sc,fc_sa,0,1,2,23_24
rbl,sa_ba,0,1,2,23_24
sa_ba,la_sk,0,1,2,23_24
rbl,fa_ha,0,1,2,23_24
fa_ha,sl_ro,0,1,2,23_24
rbl,fa_ca,0,1,2,23_24
fa_ca,fc_liv,0,1,2,23_24
rbl,ab_di,0,1,2,23_24
ab_di,psg,0,1,2,23_24